model,strategy,window_days,review_threshold,escalate_threshold,worst_regret_pct,mean_regret_pct,mean_cost,validation_pr_auc,complexity_rank
lightgbm,periodic,30,0.37571702960000025,0.7625479459999985,24.283519696481015,18.5912583785324,12.100763027279697,0.575586320575787,9
xgboost,periodic,60,0.5628901000000008,0.6894232079999998,25.831365507286996,18.837863059976716,11.962170398258767,0.5369770874552252,9
xgboost,periodic,60,0.3312895928,0.6894232079999998,26.645445655101142,19.428702617289517,12.019205474019207,0.5369770874552252,9
xgboost,periodic,30,0.2319671,0.6521011739999998,29.416640871235767,19.9126067122124,12.039506417537105,0.528737951919904,10
xgboost,static,static,0.5327416416,0.7541437687999999,29.628509150237914,25.910684082331887,12.719450340747805,0.4806369510354057,3
lightgbm,periodic,90,0.5126674544000002,0.8195049055999994,29.8447556705582,25.8124067583909,12.812687481307655,0.5599790432242554,7
xgboost,periodic,90,0.5975063680000001,0.7103074299999992,30.039143939037615,24.218857628078933,12.521753105103265,0.5221895821524528,8
lightgbm,periodic,60,0.17080683,0.6268494119999989,30.242517714898387,20.572815323992945,12.104278440569034,0.5849111076212508,8
xgboost,periodic,30,0.5214823064000002,0.7987268239999995,30.640683575720807,26.749954221518983,12.906047867598133,0.528737951919904,10
lightgbm,periodic,90,0.19470406,0.6633475815999996,30.94184015343209,21.564337999127275,12.208343275019445,0.5599790432242554,7
xgboost,periodic,60,0.5628901000000008,0.8166706215999999,31.863628024277535,29.73266567147818,13.186594625850635,0.5369770874552252,9
lightgbm,periodic,30,0.0814797848,0.5501176699999993,35.617387444085665,23.647862197563455,12.386794015127785,0.575586320575787,9
xgboost,periodic,90,0.5975063680000001,0.8233074819999998,36.550043936221165,34.63602817692893,13.681464485296184,0.5221895821524528,8
xgboost,periodic,60,0.26052362,0.6894232079999998,37.1861613054145,26.56425104625097,12.69900575430988,0.5369770874552252,9
xgboost,periodic,90,0.36076714399999954,0.7103074299999992,37.38894330766141,29.23223948920414,13.00008798311424,0.5221895821524528,8
xgboost,periodic,30,0.17509768,0.6521011739999998,39.90041886538573,27.00915777908101,12.715583453795722,0.528737951919904,10
lightgbm,periodic,60,0.3245513496,0.8158383256,40.527075941437765,36.7627632183365,13.817675214489404,0.5849111076212508,8
lightgbm,static,static,0.35957344,0.7543766923999997,40.772309805279725,31.935890568835877,13.265323370660418,0.4970771052294929,2
lightgbm,periodic,60,0.12073507600000001,0.6268494119999989,42.257278009274124,28.704901222330484,12.878994523237164,0.5849111076212508,8
xgboost,static,static,0.6530493520000004,0.7541437687999999,43.00189957864278,34.92520077877645,13.577534565523125,0.4806369510354057,3
xgboost,static,static,0.42234131599999997,0.7541437687999999,44.24069922030065,35.80296168513945,13.661893493103115,0.4806369510354057,3
lightgbm,periodic,90,0.140044736,0.6633475815999996,44.73300483079687,30.8987391685489,13.097599007585497,0.5599790432242554,7
