feature,importance
V4,912.6859045028687
V60,901.5092697143555
id_04,887.8745942115784
V33,879.7347011566162
V184,855.1414051055908
V338,855.0162010192871
V52,844.4258937835693
V265,834.5611982345581
V115,812.1881103515625
V223,800.9449043273926
C7,796.8325653076172
V209,771.0346908569336
V220,717.5841131210327
V215,703.1869926452637
V245,691.6415004730225
V171,690.4922142028809
V42,671.222204208374
V339,655.2824974060059
V140,643.2670955657959
V135,637.9682064056396
V216,636.1545944213867
V132,633.9161949157715
V25,620.6024923324585
V219,608.8629999160767
V253,606.1462898254395
V293,605.1004972457886
V300,601.6059989929199
V137,592.9266948699951
V206,582.0182933807373
V254,573.8480224609375
V277,550.8559017181396
V39,547.6915950775146
V330,545.8574905395508
V264,542.5668983459473
V166,537.244402885437
V168,526.6839904785156
V230,525.0017051696777
V208,523.2102012634277
V103,510.8449935913086
V40,508.6892042160034
V180,489.2547969818115
V7,485.75878715515137
V58,473.72649002075195
V34,471.51270294189453
V43,465.7515048980713
V109,455.92409324645996
V177,443.60699462890625
V50,438.43589782714844
V85,427.6386070251465
V213,427.1291027069092
V105,424.9526023864746
V228,418.41858673095703
V92,415.6830139160156
V276,412.07870864868164
id_25,410.8869972229004
V227,408.7765007019043
V204,401.07440757751465
V329,388.1916046142578
V94,375.1343002319336
id_10,368.3906011581421
id_07,366.2343416213989
V301,359.5559730529785
V256,358.46180057525635
V279,356.68856716156006
V167,355.82129859924316
V249,354.70660400390625
V73,353.769700050354
V3,350.6399974822998
V232,349.90670585632324
V278,343.8059940338135
V80,341.4393005371094
V333,336.2182140350342
M8_freq,335.73380279541016
V123,334.6075897216797
id_08,325.7989959716797
V274,318.9871997833252
V273,318.7109069824219
M7_freq,312.2950019836426
V212,311.1532974243164
id_24,306.2186031341553
V337,304.2135124206543
V16,294.60950469970703
V288,293.12519359588623
V202,292.10980224609375
V72,274.50660133361816
V192,274.0500030517578
V46,263.7494888305664
V260,258.17939949035645
V226,250.331298828125
V292,246.39849853515625
V57,242.5807991027832
V175,242.39800262451172
V222,240.8939971923828
V218,237.5747995376587
V108,229.7372760772705
V8,228.12469863891602
V229,225.25609970092773
V9,225.01919746398926
V134,224.31869888305664
V154,221.32699584960938
V233,204.94839763641357
V299,203.41720294952393
V146,202.36439895629883
V246,197.3140048980713
V290,196.19124507904053
V182,194.93299865722656
V151,194.02059936523438
V303,181.3107032775879
V97,178.4871997833252
id_21,178.20731830596924
V118,177.9758996963501
V334,173.63780212402344
V15,172.30039978027344
V144,158.8685007095337
V179,154.7917022705078
V142,153.88700103759766
V176,152.30299758911133
V248,149.54879760742188
V147,144.76950359344482
V239,143.44979858398438
V95,142.77869987487793
M2_freq,137.92539978027344
V181,128.62699699401855
V173,122.46329689025879
V93,121.33420181274414
V199,119.31489944458008
V211,116.0846996307373
V162,109.35199737548828
V101,103.1709976196289
V250,97.4984016418457
V235,95.36809921264648
V98,91.51469993591309
M1_label,90.03479766845703
V297,85.94779777526855
V100,83.96090316772461
V178,80.74539947509766
id_26,80.6225004196167
V71,80.38020324707031
V119,71.04389953613281
V236,70.10190010070801
V322,69.61959838867188
V255,65.99189949035645
V158,62.829490661621094
V193,62.010501861572266
V84,58.00500011444092
V302,54.405500411987305
V328,48.55220031738281
id_22,47.290300369262695
V191,47.27389907836914
V197,46.99820041656494
V185,44.38330078125
V304,44.02969932556152
V114,40.87540054321289
V188,37.17679977416992
V174,36.40190124511719
V112,36.33440017700195
V106,31.756900787353516
V148,26.494300842285156
V237,25.701099395751953
V120,25.508399963378906
V186,25.316999435424805
V269,20.91710090637207
V110,19.49519920349121
V125,17.937599182128906
V252,15.637900352478027
V22,11.895000457763672
V183,11.886300086975098
M1_freq,0.0
V14,0.0
V65,0.0
V190,0.0
V196,0.0
V195,0.0
V194,0.0
V198,0.0
V122,0.0
V121,0.0
V247,0.0
V241,0.0
V240,0.0
V238,0.0
V242,0.0
V138,0.0
V155,0.0
V153,0.0
V41,0.0
V117,0.0
V116,0.0
V113,0.0
V284,0.0
V107,0.0
V325,0.0
