model,split,segment,rows,fraud_rate,pr_auc,roc_auc,thr05_threshold,thr05_precision,thr05_recall,thr05_f1,thr05_fpr,thr05_flagged_rate,thr05_tp,thr05_fp,thr05_tn,thr05_fn,top5_threshold,top5_precision,top5_recall,top5_f1,top5_fpr,top5_flagged_rate,top5_tp,top5_fp,top5_tn,top5_fn
lgbm_keep_monitor,holdout,uid_known,29240,0.016997264021887826,0.5425244501263975,0.9158449286681367,0.5,0.5230202578268877,0.5714285714285714,0.5461538461538461,0.009010889607904533,0.01857045143638851,284,259,28484,213,0.27585569708073265,0.2441860465116279,0.7183098591549296,0.36447166921898927,0.03844414292175486,0.05,357,1105,27638,140
lgbm_keep_monitor,holdout,uid_unknown,59341,0.04357863871522219,0.5180814039184464,0.8847209273819989,0.5,0.27155443675267465,0.6674400618716164,0.38604339074032656,0.08157871553167122,0.10710975548103335,1726,4630,52125,860,0.7176848231681372,0.45417789757412397,0.5212683681361175,0.48541591645660787,0.028543740639591225,0.05001600916735478,1348,1620,55135,1238
xgb_keep_monitor,valid,global,88581,0.03434145019812375,0.5504027388051174,0.9201391302807931,0.5,0.27904907195525047,0.7215647600262984,0.40245691235790243,0.06629724453173406,0.08880008128153893,2195,5671,79868,847,0.6506365537643433,0.41696750902527074,0.6074950690335306,0.4945143162964945,0.030208442932463556,0.050033302852756235,1848,2584,82955,1194
xgb_keep_monitor,valid,uid_known,40835,0.023313334149626545,0.5307109890365075,0.9438987583850831,0.5,0.3781155015197568,0.6533613445378151,0.4790142472083173,0.025650026327006494,0.040284070037957635,622,1023,38860,330,0.45352861285209656,0.3295788442703232,0.7069327731092437,0.44956579826319304,0.034325401800265776,0.050006122199093915,673,1369,38514,279
xgb_keep_monitor,valid,uid_unknown,47746,0.043773300381183766,0.580725853983499,0.9028799937623818,0.5,0.252853239029095,0.7526315789473684,0.37853447238599447,0.10180480112142982,0.1302936371633226,1573,4648,41008,517,0.7506604194641113,0.5067001675041876,0.5789473684210527,0.5404198302813756,0.025801647100052567,0.050014660914003264,1210,1178,44478,880
xgb_keep_monitor,holdout,global,88581,0.03480430340592226,0.512772389489544,0.9055400377466042,0.5,0.2544420753375977,0.6967239701589361,0.37275488069414314,0.07361575709373319,0.09530260439597657,2148,6294,79204,935,0.6731566786766052,0.39164785553047404,0.562763542004541,0.4618660987621456,0.03152120517439005,0.05001072464749777,1735,2695,82803,1348
xgb_keep_monitor,holdout,uid_known,29240,0.016997264021887826,0.4922773887534075,0.9201367268426339,0.5,0.4387596899224806,0.5694164989939637,0.4956217162872154,0.012594370803326028,0.022058823529411766,283,362,28381,214,0.35414016246795654,0.23119015047879618,0.6800804828973843,0.3450740173557938,0.03910517343353164,0.05,338,1124,27619,159
xgb_keep_monitor,holdout,uid_unknown,59341,0.04357863871522219,0.5295815597091478,0.8941771810191059,0.5,0.23919456201102987,0.7211910286156226,0.3592410671289608,0.10451942560126862,0.13139313459496807,1865,5932,50823,721,0.7534200549125671,0.46327493261455527,0.5317092034029389,0.49513863881886927,0.028068011628931373,0.05001600916735478,1375,1593,55162,1211
cat_keep_monitor,valid,global,88581,0.03434145019812375,0.5382794805444302,0.9175683204324661,0.5,0.23883394065590838,0.7541091387245233,0.3627737803431644,0.08546978571178059,0.10843183075377338,2294,7311,78228,748,0.6907202107816466,0.41173814898419864,0.5996055226824457,0.48822269807280516,0.030465635558049545,0.05001072464749777,1824,2606,82933,1218
cat_keep_monitor,valid,uid_known,40835,0.023313334149626545,0.4894889452427607,0.9395518656776956,0.5,0.29411764705882354,0.6880252100840336,0.4120792702107581,0.03941528972243813,0.05453654952859067,655,1572,38311,297,0.5222258172982918,0.3099902056807052,0.6649159663865546,0.4228456913827655,0.035328335380989395,0.050006122199093915,633,1409,38474,319
cat_keep_monitor,valid,uid_unknown,47746,0.043773300381183766,0.5712584090349678,0.9017240799303802,0.5,0.22214692328544322,0.7842105263157895,0.34621884241656103,0.12570089363939022,0.15452603359443723,1639,5739,39917,451,0.7729130878938631,0.5067001675041876,0.5789473684210527,0.5404198302813756,0.025801647100052567,0.050014660914003264,1210,1178,44478,880
cat_keep_monitor,holdout,global,88581,0.03480430340592226,0.4988737533859577,0.901987432133987,0.5,0.21021980086417433,0.7259163152773273,0.3260252021268847,0.0983414816720859,0.12018378659080389,2238,8408,77090,845,0.721450707116443,0.3939051918735892,0.5660071359065845,0.46452815120457874,0.031404243374114016,0.05001072464749777,1745,2685,82813,1338
cat_keep_monitor,holdout,uid_known,29240,0.016997264021887826,0.41483458332929274,0.9095198824019509,0.5,0.296218487394958,0.5674044265593562,0.38923395445134573,0.023310023310023312,0.03255813953488372,282,670,28073,215,0.40595426470122153,0.21545827633378933,0.6338028169014085,0.3215926493108729,0.03990536826357722,0.05,315,1147,27596,182
cat_keep_monitor,holdout,uid_unknown,59341,0.04357863871522219,0.521775552153774,0.8932470184494036,0.5,0.20177429337734681,0.7563805104408353,0.31856677524429966,0.1363404105365166,0.16336091403919717,1956,7738,49017,630,0.7857359332294794,0.47102425876010784,0.5406032482598608,0.5034209578682031,0.027662760990221125,0.05001600916735478,1398,1570,55185,1188
