feature,train_missing_pct,valid_missing_pct,holdout_missing_pct,missing_delta_train_valid,missing_delta_train_holdout,ks_train_valid,ks_train_holdout,train_nunique,valid_nunique,holdout_nunique,gain_importance,split_importance,perm_pr_auc,perm_pr_auc_drop,max_ks,max_missing_delta,gain_rank,perm_rank,is_predictive,is_shifted,recommendation
D1,0.06604125038100721,1.0781093010916563,0.04628532077985121,1.012068050710649,0.019755929601156,0.08984741210751751,0.08621339884044871,640,639,640,31220.335703372955,238,0.5919180598917392,0.005536354225660678,0.08984741210751751,1.012068050710649,35.0,28.0,True,False,keep
D10,14.801465002975487,8.550366331380319,8.19814632934828,6.251098671595168,6.603318673627207,0.0661533555742096,0.07258675934693404,753,708,746,31023.933925628662,358,0.5941762621777071,0.0032781519396927195,0.07258675934693404,6.603318673627207,36.0,44.0,True,False,keep
C10,0.0,0.0,0.0,0.0,0.0,0.08844666378794552,0.0555389296237343,1127,157,168,30652.079652309418,78,0.5938151516039405,0.0036392625134593626,0.08844666378794552,0.0,37.0,38.0,True,False,keep
M5_freq,0.0,0.0,0.0,0.0,0.0,0.03596822428060198,0.03701811082512052,3,3,3,28404.64240837097,151,0.593500399328461,0.003954014788938864,0.03701811082512052,0.0,38.0,35.0,True,False,keep
C4,0.0,0.0,0.0,0.0,0.0,0.07466284191869588,0.04350491866201556,1203,122,115,24577.372639656067,46,0.597228764749071,0.00022564936832880633,0.07466284191869588,0.0,40.0,53.0,True,False,keep
ProductCD_label,0.0,0.0,0.0,0.0,0.0,0.09646718483647732,0.06459804811415537,5,5,5,23436.396056175232,110,0.5906766614651483,0.006777752652251556,0.09646718483647732,0.0,42.0,26.0,True,False,keep
R_emaildomain_label,0.0,0.0,0.0,0.0,0.0,0.07253317077025545,0.04108173084521505,61,56,59,22748.844269752502,238,0.595891681680345,0.0015627324370548479,0.07253317077025545,0.0,43.0,48.0,True,False,keep
V45,29.571965610167933,27.81521996816473,24.9331120669218,1.756745642003203,4.638853543246132,0.004631749867067048,0.0023882942326490797,49,38,22,21479.091588974,103,0.5945157530526809,0.0029386610647189615,0.004631749867067048,4.638853543246132,45.0,46.0,True,False,keep
D5,54.161082592687556,49.6957586841422,47.33520732436979,4.465323908545358,6.825875268317766,0.03613702872531416,0.012898158846184171,624,626,660,20962.767378807068,208,0.5958089718661044,0.0016454422512954814,0.03613702872531416,6.825875268317766,47.0,47.0,True,False,keep
M6_freq,0.0,0.0,0.0,0.0,0.0,0.0971207609419627,0.06656116012463167,3,3,3,20898.257358551025,112,0.5929776799740939,0.00447673414330596,0.0971207609419627,0.0,48.0,32.0,True,False,keep
