model,strategy,window_days,scenario,review_effectiveness,update_cost,false_escalation_cost,rows,fraud_count,cost_total,cost_per_txn,reward_total,review_count,review_rate,escalate_count,approve_count,fraud_approved,fraud_referred,fraud_referred_rate,false_escalations_per_1000_legit,updates,update_cost_total
lightgbm,alert,45,model,0.8,100.0,10.0,88581,3083,868683.3578605,9.806655579193055,-868683.3578605,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,200.0
lightgbm,periodic,14,model,0.8,100.0,10.0,88581,3083,870410.001031,9.826147831148893,-870410.001031,4884,0.0551359772411691,4194,79503,882,2201,0.7139150178397664,27.146833844066528,5,500.0
catboost,periodic,45,model,0.8,100.0,10.0,88581,3083,875234.6983335001,9.880614334151794,-875234.6983335001,4898,0.055294024677978344,4274,79409,953,2130,0.6908855011352578,29.71999345013918,5,500.0
xgboost,alert,expanding,model,0.8,100.0,10.0,88581,3083,884120.9143759998,9.980931739041102,-884120.9143759998,4898,0.055294024677978344,4184,79499,1013,2070,0.6714239377229971,29.509462209642333,1,100.0
lightgbm,alert,14,model,0.8,100.0,10.0,88581,3083,908215.371796,10.252936541651145,-908215.371796,4841,0.05465054582811212,3906,79834,924,2159,0.700291923451184,24.88947109873915,2,200.0
catboost,periodic,30,model,0.8,100.0,10.0,88581,3083,908660.6421920002,10.257963244849348,-908660.6421920002,4898,0.055294024677978344,4616,79067,939,2144,0.6954265325981187,33.25223981847528,5,500.0
catboost,periodic,expanding,model,0.8,100.0,10.0,88581,3083,908972.0324094999,10.261478560972442,-908972.0324094999,4897,0.055282735575349115,4178,79506,1016,2067,0.670450859552384,29.965613230718848,5,500.0
xgboost,static,initial_70pct,model,0.8,100.0,10.0,88581,3083,919884.923735,10.384675311127667,-919884.923735,4898,0.055294024677978344,4088,79595,1090,1993,0.6464482646772624,29.275538609090273,0,0.0
catboost,static,initial_70pct,model,0.8,100.0,10.0,88581,3083,929568.402337,10.493993094873618,-929568.402337,4898,0.055294024677978344,4037,79646,1105,1978,0.6415828738241972,28.94804556831739,0,0.0
lightgbm,alert,30,model,0.8,100.0,10.0,88581,3083,933143.842034,10.53435660055768,-933143.842034,4866,0.05493277339384292,3716,79999,913,2170,0.7038598767434318,22.456665652997728,2,200.0
catboost,alert,expanding,model,0.8,100.0,10.0,88581,3083,934492.9158440001,10.54958643325318,-934492.9158440001,4892,0.055226290062202955,4187,79502,1061,2022,0.6558546869931885,30.91300381295469,1,100.0
catboost,alert,30,model,0.8,100.0,10.0,88581,3083,946212.2465115,10.681887159904495,-946212.2465115,4898,0.055294024677978344,4261,79422,1015,2068,0.6707752189425884,30.398371891740158,1,100.0
xgboost,alert,45,model,0.8,100.0,10.0,88581,3083,950297.4518419999,10.728005462141994,-950297.4518419999,4862,0.054887616983326,3419,80300,957,2126,0.6895880635744405,20.901073709326536,2,200.0
xgboost,periodic,14,model,0.8,100.0,10.0,88581,3083,962581.464556,10.86668094236913,-962581.464556,4898,0.055294024677978344,4130,79553,952,2131,0.6912098605254622,27.450934524784206,5,500.0
xgboost,alert,30,model,0.8,100.0,10.0,88581,3083,973123.957699,10.985696229428433,-973123.957699,4883,0.055124688138539865,4855,78843,963,2120,0.6876419072332144,36.67922056656296,2,200.0
xgboost,alert,14,model,0.8,100.0,10.0,88581,3083,1036677.9297205,11.703163542074485,-1036677.9297205,4898,0.055294024677978344,4004,79679,1009,2074,0.6727213752838145,26.784252263210835,2,200.0
catboost,periodic,14,model,0.8,100.0,10.0,88581,3083,1038042.1177145,11.718564000344319,-1038042.1177145,4898,0.055294024677978344,4609,79074,1020,2063,0.6691534219915667,33.778567919717425,5,500.0
catboost,alert,14,model,0.8,100.0,10.0,88581,3083,1054342.7678414998,11.902583712551221,-1054342.7678414998,4898,0.055294024677978344,4434,79249,1067,2016,0.6539085306519624,32.59725373692952,2,200.0
none,approve_all,none,no_model,0.8,0.0,10.0,88581,3083,2070973.5776100003,23.37943326006706,-2070973.5776100003,0,0.0,0,88581,3083,0,0.0,0.0,0,0.0
