model,strategy,window_days,split,block,train_rows,train_first_dt,train_last_dt,available_before,train_seconds,device,fallback,reason
catboost,periodic,14,valid,2,44794,9833214.0,11042793.0,11042798.1,5.062690742999848,cpu,,weekly
catboost,periodic,14,valid,3,42039,10438003.0,11647588.0,11647598.1,5.0149089830001685,cpu,,weekly
catboost,periodic,14,valid,4,37529,11042822.0,12252387.0,12252398.1,4.600813194999773,cpu,,weekly
catboost,periodic,14,holdout,0,36989,11337606.0,12547018.0,12547045.999999998,4.474246520000179,cpu,,weekly
catboost,periodic,14,holdout,1,37479,11942491.0,13151840.0,13151845.999999998,4.470461204000003,cpu,,weekly
catboost,periodic,14,holdout,2,41135,12547070.0,13756312.0,13756645.999999998,4.814960564000103,cpu,,weekly
catboost,periodic,14,holdout,3,42631,13151880.0,14361439.0,14361445.999999998,5.1574553129999,cpu,,weekly
catboost,periodic,14,holdout,4,41164,13756730.0,14966157.0,14966245.999999998,4.991583874000298,cpu,,weekly
catboost,alert,14,valid,1,42580,9228403.0,10437996.0,10437998.1,4.948640033999709,cpu,,initial_window_model
catboost,alert,14,holdout,1,37479,11942491.0,13151840.0,13151845.999999998,4.44081284899994,cpu,,two_matured_pr_auc_drops_gt_10pct
catboost,alert,14,holdout,3,42631,13151880.0,14361439.0,14361445.999999998,5.188821295999787,cpu,,two_matured_pr_auc_drops_gt_10pct
catboost,periodic,30,valid,1,98496,7846017.0,10437996.0,10437998.1,8.535995610999635,cpu,,weekly
catboost,periodic,30,valid,2,93852,8450822.0,11042793.0,11042798.1,8.359007675999692,cpu,,weekly
catboost,periodic,30,valid,3,90857,9055600.0,11647588.0,11647598.1,8.155240409000271,cpu,,weekly
catboost,periodic,30,valid,4,88729,9660424.0,12252387.0,12252398.1,7.924607275999733,cpu,,weekly
catboost,periodic,30,holdout,0,86772,9955073.0,12547018.0,12547045.999999998,7.884997602000112,cpu,,weekly
catboost,periodic,30,holdout,1,83800,10559903.0,13151840.0,13151845.999999998,7.695644316999733,cpu,,weekly
catboost,periodic,30,holdout,2,83420,11164729.0,13756312.0,13756645.999999998,7.31515047799985,cpu,,weekly
catboost,periodic,30,holdout,3,85334,11769589.0,14361439.0,14361445.999999998,7.705641968000236,cpu,,weekly
catboost,periodic,30,holdout,4,87250,12374352.0,14966157.0,14966245.999999998,7.873579666000296,cpu,,weekly
catboost,alert,30,valid,1,98496,7846017.0,10437996.0,10437998.1,8.420138500999656,cpu,,initial_window_model
catboost,alert,30,holdout,1,83800,10559903.0,13151840.0,13151845.999999998,7.630579278999903,cpu,,two_matured_pr_auc_drops_gt_10pct
catboost,periodic,45,valid,1,143405,6550013.0,10437996.0,10437998.1,11.554139572000167,cpu,,weekly
catboost,periodic,45,valid,2,146187,7154815.0,11042793.0,11042798.1,11.85624217600025,cpu,,weekly
catboost,periodic,45,valid,3,143813,7759641.0,11647588.0,11647598.1,11.498135954999725,cpu,,weekly
catboost,periodic,45,valid,4,134441,8364429.0,12252387.0,12252398.1,10.925236232000316,cpu,,weekly
catboost,periodic,45,holdout,0,131330,8659096.0,12547018.0,12547045.999999998,10.771018596999966,cpu,,weekly
catboost,periodic,45,holdout,1,129408,9263879.0,13151840.0,13151845.999999998,10.703199038000093,cpu,,weekly
catboost,periodic,45,holdout,2,130535,9868696.0,13756312.0,13756645.999999998,10.529870287999984,cpu,,weekly
catboost,periodic,45,holdout,3,129432,10473578.0,14361439.0,14361445.999999998,10.452518908999991,cpu,,weekly
catboost,periodic,45,holdout,4,127029,11078500.0,14966157.0,14966245.999999998,10.529364485000315,cpu,,weekly
catboost,alert,45,valid,1,143405,6550013.0,10437996.0,10437998.1,11.54930995299992,cpu,,initial_window_model
catboost,alert,45,holdout,1,129408,9263879.0,13151840.0,13151845.999999998,10.774372858000334,cpu,,two_matured_pr_auc_drops_gt_10pct
catboost,periodic,expanding,valid,1,413378,86400.0,10437996.0,10437998.1,28.786451758000112,cpu,,weekly
catboost,periodic,expanding,valid,2,436510,86400.0,11042793.0,11042798.1,30.868938543999775,cpu,,weekly
catboost,periodic,expanding,valid,3,455417,86400.0,11647588.0,11647598.1,31.803095176999705,cpu,,weekly
catboost,periodic,expanding,valid,4,474039,86400.0,12252387.0,12252398.1,32.69897685600017,cpu,,weekly
catboost,periodic,expanding,holdout,0,482799,86400.0,12547018.0,12547045.999999998,32.584828106999794,cpu,,weekly
catboost,periodic,expanding,holdout,1,501959,86400.0,13151840.0,13151845.999999998,33.96333582699981,cpu,,weekly
catboost,periodic,expanding,holdout,2,523934,86400.0,13756312.0,13756645.999999998,36.21634577099985,cpu,,weekly
catboost,periodic,expanding,holdout,3,544590,86400.0,14361439.0,14361445.999999998,37.09684214300023,cpu,,weekly
catboost,periodic,expanding,holdout,4,565098,86400.0,14966157.0,14966245.999999998,38.62756311200019,cpu,,weekly
catboost,alert,expanding,valid,1,413378,86400.0,10437996.0,10437998.1,28.206858213000032,cpu,,initial_window_model
catboost,alert,expanding,holdout,1,501959,86400.0,13151840.0,13151845.999999998,33.98739379000017,cpu,,two_matured_pr_auc_drops_gt_10pct
