model,strategy,window_days,split,block,rows,fraud_rate,pr_auc,recall_at_5pct,precision_at_5pct,cost_per_txn_proxy,uid_known_pr_auc,uid_unknown_pr_auc,train_seconds,updated,device,psi_score,inference_ms_per_txn
lightgbm,alert,45,holdout,3,17817,0.04130886232250098,0.601158832801366,0.6114130434782609,0.5056179775280899,18.20417786114385,0.5773355265244049,0.618167827530305,0.0,0,cpu,0.0302972505791547,0.02181762401078103
lightgbm,alert,45,holdout,4,7625,0.041836065573770495,0.6758274751485001,0.6332288401253918,0.5301837270341208,19.931817206557376,0.7071036876367529,0.6616795676244622,8.431249795999975,1,cpu,0.06056965354561915,0.026897707803281726
lightgbm,periodic,expanding,valid,1,18907,0.03929761464008039,0.5682017736971677,0.604306864064603,0.47513227513227513,13.922788871529065,0.5601605658405284,0.593832637570276,27.702224806999993,1,cpu,0.0,0.025347161844817504
lightgbm,periodic,expanding,valid,2,18622,0.033293953388465254,0.515849550459071,0.5951612903225807,0.3963480128893663,13.160511174417355,0.4822787773666414,0.5367587852409428,24.677220294000108,1,cpu,0.010962569923771929,0.021383619697134915
lightgbm,periodic,expanding,valid,3,18646,0.03233937573742358,0.48387809701528794,0.5655058043117744,0.36587982832618027,11.557495825056312,0.5287565117051976,0.4781283829030417,25.048449508999965,1,cpu,0.0011797089275095056,0.022447848278455505
lightgbm,periodic,expanding,valid,4,9274,0.031917187836963554,0.5381183436038278,0.5878378378378378,0.3758099352051836,10.715458954065127,0.45089387053392027,0.6229366598208528,25.881037190999905,1,cpu,0.009760984324110756,0.024176687189982757
lightgbm,periodic,expanding,holdout,0,21975,0.030716723549488054,0.578450924805855,0.6311111111111111,0.3879781420765027,11.689379149761091,0.54228932719583,0.6045629612240504,27.292018460999998,1,cpu,0.0072798700909315756,0.021604812559722276
lightgbm,periodic,expanding,holdout,1,20656,0.030644848954298993,0.4834548921495919,0.5718799368088467,0.3507751937984496,10.416517570584817,0.49903048431177394,0.4860342688079476,27.770164928999975,1,cpu,0.013701893624552444,0.022191305673898883
lightgbm,periodic,expanding,holdout,2,20508,0.03510825043885313,0.5181907698215826,0.5763888888888888,0.40487804878048783,12.597069395748,0.45423668403845274,0.5519192322754387,28.123059772000033,1,cpu,0.031932039041623846,0.022539387946168457
lightgbm,periodic,expanding,holdout,3,17817,0.04130886232250098,0.645749089937196,0.6358695652173914,0.5258426966292135,16.34865500275018,0.606780242540819,0.6715129135572118,30.18738167100014,1,cpu,0.00464299457184836,0.02136140276141538
lightgbm,periodic,expanding,holdout,4,7625,0.041836065573770495,0.6296189128184972,0.6175548589341693,0.5170603674540682,19.399818866360658,0.5618430806602964,0.682512978846643,31.30901870899993,1,cpu,0.0160481355568692,0.026266196983625215
lightgbm,alert,expanding,valid,1,18907,0.03929761464008039,0.5682017736971677,0.604306864064603,0.47513227513227513,13.922788871529065,0.5601605658405284,0.593832637570276,23.185391054000092,1,cpu,0.0,0.021341138943249367
lightgbm,alert,expanding,valid,2,18622,0.033293953388465254,0.49855101042124483,0.5967741935483871,0.39742212674543503,12.91326112136183,0.43153936528645853,0.538086493048196,0.0,0,cpu,0.003593260193079801,0.02037668832564184
lightgbm,alert,expanding,valid,3,18646,0.03233937573742358,0.4333328855645651,0.5240464344941956,0.33905579399141633,12.509803608816904,0.4328673631956576,0.45526004473918813,0.0,0,cpu,0.002772352508160606,0.020169093800280914
lightgbm,alert,expanding,valid,4,9274,0.031917187836963554,0.49666580380684683,0.5304054054054054,0.3390928725701944,10.924305217597583,0.3714546285549527,0.6137257869691334,0.0,0,cpu,0.004705535299287047,0.023853152469276627
lightgbm,alert,expanding,holdout,0,21975,0.030716723549488054,0.5443666716648949,0.5911111111111111,0.3633879781420765,12.48238765761092,0.476758615421954,0.5903105211210542,0.0,0,cpu,0.006681701926291426,0.019949273674632655
lightgbm,alert,expanding,holdout,1,20656,0.030644848954298993,0.4834548921495919,0.5718799368088467,0.3507751937984496,10.416517570584817,0.49903048431177394,0.4860342688079476,26.936842162999937,1,cpu,0.013701893624552444,0.02111259367738021
lightgbm,alert,expanding,holdout,2,20508,0.03510825043885313,0.5200004084415091,0.5791666666666667,0.4068292682926829,12.627989284571875,0.4474290659192334,0.5549935084096459,0.0,0,cpu,0.025716660079026975,0.02101403101229216
lightgbm,alert,expanding,holdout,3,17817,0.04130886232250098,0.6083786618228197,0.5910326086956522,0.4887640449438202,18.772603668855584,0.5354305278871758,0.6504496808374874,0.0,0,cpu,0.005657926212140095,0.02067004417128953
lightgbm,alert,expanding,holdout,4,7625,0.041836065573770495,0.6010207801720048,0.5956112852664577,0.49868766404199477,19.687881801442625,0.5036583585796346,0.6755384335653484,0.0,0,cpu,0.006764392938634815,0.025578620852475517
xgboost,static,initial_70pct,valid,1,18907,0.03929761464008039,0.5233549709735653,0.5612382234185733,0.44126984126984126,14.351931156608664,0.4278226805936112,0.5936674077618631,17.80737737100003,0,cpu,0.0,0.014759420532071237
xgboost,static,initial_70pct,valid,2,18622,0.033293953388465254,0.45913018183203386,0.55,0.36627282491944146,13.802476262163033,0.33541784808980213,0.5221146717496513,0.0,0,cpu,0.003630959009387769,0.01437369530663225
xgboost,static,initial_70pct,valid,3,18646,0.03233937573742358,0.40516297248034006,0.4693200663349917,0.30364806866952787,12.743450072830635,0.34640372156494775,0.45017337179618233,0.0,0,cpu,0.004100970481435284,0.014188661965033012
