model,strategy,window_days,scenario,review_effectiveness,update_cost,false_escalation_cost,rows,fraud_count,cost_total,cost_per_txn,reward_total,review_count,review_rate,escalate_count,approve_count,fraud_approved,fraud_referred,fraud_referred_rate,false_escalations_per_1000_legit,updates,update_cost_total
lightgbm,periodic,45,model,1.0,100.0,5.0,88581,3083,708103.670573,7.993855009234486,-708103.670573,4898,0.055294024677978344,4015,79668,817,2266,0.734998378203049,25.100002339236006,5,500.0
lightgbm,periodic,45,model,1.0,100.0,10.0,88581,3083,718833.670573,8.114987080446145,-718833.670573,4898,0.055294024677978344,4015,79668,817,2266,0.734998378203049,25.100002339236006,5,500.0
lightgbm,periodic,45,model,1.0,100.0,25.0,88581,3083,751023.670573,8.478383294081123,-751023.670573,4898,0.055294024677978344,4015,79668,817,2266,0.734998378203049,25.100002339236006,5,500.0
lightgbm,periodic,45,model,1.0,500.0,5.0,88581,3083,710103.670573,8.016433214492949,-710103.670573,4898,0.055294024677978344,4015,79668,817,2266,0.734998378203049,25.100002339236006,5,2500.0
lightgbm,periodic,45,model,1.0,500.0,10.0,88581,3083,720833.670573,8.137565285704609,-720833.670573,4898,0.055294024677978344,4015,79668,817,2266,0.734998378203049,25.100002339236006,5,2500.0
lightgbm,periodic,45,model,1.0,500.0,25.0,88581,3083,753023.670573,8.500961499339587,-753023.670573,4898,0.055294024677978344,4015,79668,817,2266,0.734998378203049,25.100002339236006,5,2500.0
lightgbm,alert,45,model,0.6,0.0,5.0,88581,3083,936684.7565024999,10.574330347393909,-936684.7565024999,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,0.0
lightgbm,alert,45,model,0.6,0.0,10.0,88581,3083,945869.7565024999,10.678020755043406,-945869.7565024999,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,0.0
lightgbm,alert,45,model,0.6,0.0,25.0,88581,3083,973424.7565024999,10.989091977991894,-973424.7565024999,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,0.0
lightgbm,alert,45,model,0.6,100.0,5.0,88581,3083,936884.7565024999,10.576588167919756,-936884.7565024999,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,200.0
lightgbm,alert,45,model,0.6,100.0,10.0,88581,3083,946069.7565024999,10.680278575569252,-946069.7565024999,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,200.0
lightgbm,alert,45,model,0.6,100.0,25.0,88581,3083,973624.7565024999,10.99134979851774,-973624.7565024999,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,200.0
lightgbm,alert,45,model,0.6,500.0,5.0,88581,3083,937684.7565024999,10.585619450023142,-937684.7565024999,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,1000.0
lightgbm,alert,45,model,0.6,500.0,10.0,88581,3083,946869.7565024999,10.689309857672638,-946869.7565024999,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,1000.0
lightgbm,alert,45,model,0.6,500.0,25.0,88581,3083,974424.7565024999,11.000381080621125,-974424.7565024999,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,1000.0
lightgbm,alert,45,model,0.8,0.0,5.0,88581,3083,859298.3578605,9.700707351017712,-859298.3578605,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,0.0
lightgbm,alert,45,model,0.8,0.0,10.0,88581,3083,868483.3578605,9.804397758667209,-868483.3578605,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,0.0
lightgbm,alert,45,model,0.8,0.0,25.0,88581,3083,896038.3578605,10.115468981615697,-896038.3578605,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,0.0
lightgbm,alert,45,model,0.8,100.0,5.0,88581,3083,859498.3578605,9.702965171543559,-859498.3578605,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,200.0
lightgbm,alert,45,model,0.8,100.0,10.0,88581,3083,868683.3578605,9.806655579193055,-868683.3578605,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,200.0
lightgbm,alert,45,model,0.8,100.0,25.0,88581,3083,896238.3578605,10.117726802141542,-896238.3578605,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,200.0
lightgbm,alert,45,model,0.8,500.0,5.0,88581,3083,860298.3578605,9.711996453646945,-860298.3578605,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,1000.0
lightgbm,alert,45,model,0.8,500.0,10.0,88581,3083,869483.3578605,9.81568686129644,-869483.3578605,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,1000.0
lightgbm,alert,45,model,0.8,500.0,25.0,88581,3083,897038.3578605,10.126758084244928,-897038.3578605,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,1000.0
lightgbm,alert,45,model,1.0,0.0,5.0,88581,3083,781911.9592185002,8.827084354641517,-781911.9592185002,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,0.0
lightgbm,alert,45,model,1.0,0.0,10.0,88581,3083,791096.9592185002,8.930774762291012,-791096.9592185002,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,0.0
lightgbm,alert,45,model,1.0,0.0,25.0,88581,3083,818651.9592185002,9.2418459852395,-818651.9592185002,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,0.0
lightgbm,alert,45,model,1.0,100.0,5.0,88581,3083,782111.9592185002,8.829342175167364,-782111.9592185002,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,200.0
lightgbm,alert,45,model,1.0,100.0,10.0,88581,3083,791296.9592185002,8.933032582816859,-791296.9592185002,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,200.0
lightgbm,alert,45,model,1.0,100.0,25.0,88581,3083,818851.9592185002,9.244103805765347,-818851.9592185002,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,200.0
lightgbm,alert,45,model,1.0,500.0,5.0,88581,3083,782911.9592185002,8.838373457270748,-782911.9592185002,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,1000.0
lightgbm,alert,45,model,1.0,500.0,10.0,88581,3083,792096.9592185002,8.942063864920245,-792096.9592185002,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,1000.0
lightgbm,alert,45,model,1.0,500.0,25.0,88581,3083,819651.9592185002,9.253135087868733,-819651.9592185002,4841,0.05465054582811212,3556,80184,891,2192,0.7109957833279273,21.485882710706683,2,1000.0
lightgbm,periodic,expanding,model,0.6,0.0,5.0,88581,3083,851346.8581905002,9.610942055186781,-851346.8581905002,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,0.0
lightgbm,periodic,expanding,model,0.6,0.0,10.0,88581,3083,862466.8581905002,9.73647687642384,-862466.8581905002,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,0.0
lightgbm,periodic,expanding,model,0.6,0.0,25.0,88581,3083,895826.8581905002,10.11308134013502,-895826.8581905002,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,0.0
lightgbm,periodic,expanding,model,0.6,100.0,5.0,88581,3083,851846.8581905002,9.616586606501397,-851846.8581905002,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,500.0
lightgbm,periodic,expanding,model,0.6,100.0,10.0,88581,3083,862966.8581905002,9.742121427738455,-862966.8581905002,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,500.0
